"spname","",""
"CDist","Abildgaardia_ovata","30","32028.3042983936"
"CDist","Abildgaardia_ovata","60","11464.0540390766"
"CDist","Abildgaardia_ovata","90","7757.64684280133"
"CDist","Abildgaardia_ovata","120","-1227.01622467957"
"CDist","Abildgaardia_ovata","150","-5853.10055423732"
"CDist","Abildgaardia_ovata","180","-18052.4937822563"
"CDist","Abildgaardia_ovata","210","-9071.06953984304"
"CDist","Abildgaardia_ovata","240","-3300.12046391022"
"CDist","Abildgaardia_ovata","270","-3006.36583022666"
"CDist","Abildgaardia_ovata","300","-3224.94031715882"
"CDist","Abildgaardia_ovata","330","56434.9938784603"
"CDist","Abildgaardia_ovata","360","243264.562115175"
