"spname","","x","y"
"1","Abildgaardia_ovata","30","-81.45756332951","30.3849250362387"
"2","Abildgaardia_ovata","60","-81.0134583482548","28.9817199979679"
"3","Abildgaardia_ovata","90","-80.6902833274779","28.327030061229"
"4","Abildgaardia_ovata","120","-80.2211583361062","27.1177299982771"
"5","Abildgaardia_ovata","150","-80.304558338315","25.5873400376385"
"6","Abildgaardia_ovata","180","-80.9112913825675","24.8617600458556"
"7","Abildgaardia_ovata","210","-82.0663833318956","26.5672900051687"
"8","Abildgaardia_ovata","240","-82.5271683204179","27.3199749977221"
"9","Abildgaardia_ovata","270","-82.7502633317189","27.841225008076"
"10","Abildgaardia_ovata","300","-87.3601983334887","30.5558949977884"
"11","Abildgaardia_ovata","330","-87.0474492362636","30.585085015829"
"12","Abildgaardia_ovata","360","-82.1080833230603","28.7565402478118"
"13","Abrus_precatorius","30","-81.3324636429443","29.3528469937462"
"14","Abrus_precatorius","60","-80.8216383062206","28.349965038315"
"15","Abrus_precatorius","90","-80.5297383299656","27.8933499723896"
"16","Abrus_precatorius","120","-80.2190733366225","27.1218999933735"
"17","Abrus_precatorius","150","-80.1732033322932","25.8479650084405"
"18","Abrus_precatorius","180","-80.6256465182934","25.055665264058"
"19","Abrus_precatorius","210","-81.6598083287894","25.9105267347064"
"20","Abrus_precatorius","240","-82.108083359506","27.2073850074355"
"21","Abrus_precatorius","270","-82.543848330424","27.3908649523914"
"22","Abrus_precatorius","300","-82.7502633343695","28.0580650042989"
"23","Abrus_precatorius","330","-83.2880482834629","29.1068075386794"
"24","Abrus_precatorius","360","-81.6243633147109","29.830317719422"
